Topic,TopWords
Topic 0,say that have not they party labour campaign person but
Topic 1,have for but that say will would not year with
Topic 2,number one with they top three from take rock will
Topic 3,have they for say drug test ban that take charge
Topic 4,she have say year for who show out that become
Topic 5,for have say that with this work there other could
Topic 6,have say for airline that they from Scottish cost minister
Topic 7,have say country world aid that blog this tsunami for
Topic 8,she that have not make about all person they but
Topic 9,use computer you say that have will can with world
Topic 10,have that say for company they firm will its law
Topic 11,that have site say virus user they search use software
Topic 12,she world win race have year Olympic indoor record European
Topic 13,that say have blair minister lord would prime not tell
Topic 14,she say have from with man who after which police
Topic 15,will for have player with new cup they team side
Topic 16,have for will that new more than say year with
Topic 17,party have say for ukip kilroy silk who will after
Topic 18,have its firm with say company new that year for
Topic 19,have club say for they that but with not this
Topic 20,will for war world iraq from which its dvd take
Topic 21,say for government would that brown labour have not they
Topic 22,that for say will they have but high woman next
Topic 23,for from they ireland but with half try game over
Topic 24,have will government that pension say they work union with
Topic 25,but after with final set second take roddick break two
Topic 26,its euro have profit say company which buy fiat year
Topic 27,have they for that will but would from time this
Topic 28,show have bbc its programme which channel will viewer new
Topic 29,they that for have say service person network this net
Topic 30,say year rise price have from for market that fall
Topic 31,have from for that former charge trial court say man
Topic 32,election for they labour will tax have say would tory
Topic 33,have that you they but not game with get good
Topic 34,have its say that share with firm company for offer
Topic 35,film with star have who movie for show which office
Topic 36,have that economy economic year growth bank say will rate
Topic 37,music for song band year they have record album good
Topic 38,that have they this but not say person with would
Topic 39,for good award film win oscar actor have year director
Topic 40,for say sale budget year have india its will good
Topic 41,that for you can not with there from many person
Topic 42,france have will say they world wale for that but
Topic 43,have win play say but for will year open with
Topic 44,game for more dvd which gaming video technology will sony
Topic 45,they phone use that say have make mobile from access
Topic 46,mobile that they say have for phone with person technology
Topic 47,have they england that get but say for this with
Topic 48,have for oil yuko its company Russian say that russia
Topic 49,say have they not would that government home for lord
